493 248 651 530
192 141 426 370
176 13 459 280
701 117 398 455
754 87 570 324
747 107 64 145
91 759 163 7
769 386 274 636
347 419 600 17
777 350 374 675
140 593 86 381
552 236 720 428
266 790 81 451
355 112 586 768
479 164 276 435
509 222 330 319
746 765 256 166
233 287 563 677
711 744 746 578
504 486 94 432
634 245 688 180
227 232 358 523
250 190 9 58
235 638 683 314
799 373 166 373
568 176 779 359
663 607 606 45
206 292 687 107
732 307 750 179
205 392 119 430
64 306 404 768
522 702 655 596
94 555 256 524
686 451 755 404
206 441 625 519
642 121 351 559
361 562 239 91
398 515 360 527
720 118 207 526
165 557 48 523
323 44 765 68
182 391 254 685
759 374 658 733
174 526 109 569
183 151 647 455
721 314 409 723
496 799 191 485
21 677 466 58
426 756 420 80
310 364 460 792
740 16 111 738
675 510 226 146
185 764 737 612
201 496 623 697
703 185 241 613
324 635 246 545
81 515 265 711
135 91 670 598
595 740 351 511
134 409 487 614
276 0 553 205
464 185 80 37
676 341 787 196
680 194 191 616
703 346 755 34
257 522 289 466
646 628 461 468
135 81 290 44
209 292 485 663
204 552 579 615
190 785 192 443
739 706 503 442
387 329 486 278
116 134 126 700
175 79 363 250
628 18 520 424
28 195 581 688
224 672 536 406
106 188 493 768
351 28 522 325
765 426 193 250
480 435 199 633
533 91 477 210
760 175 450 572
648 443 514 519
263 388 789 752
39 528 295 377
388 564 67 429
606 269 389 756
300 292 36 156
672 799 748 392
601 106 426 787
161 370 607 195
790 196 303 255
666 518 18 736
656 403 381 457
528 709 268 198
353 272 287 89
716 686 215 593
135 23 367 444
671 298 306 204
589 140 582 524
648 297 697 531
83 793 277 458
55 345 653 782
461 597 429 194
349 53 740 321
739 771 62 127
458 688 107 129
110 530 777 155
593 186 735 324
374 716 689 787
187 201 201 95
283 314 186 23
439 366 89 645
730 714 74 702
662 62 135 479
607 68 704 550
34 310 611 491
764 586 429 795
707 182 460 489
89 486 240 613
286 652 362 328
604 336 445 534
511 79 582 108
252 598 164 782
651 687 739 60
227 260 339 667
614 488 180 647
317 594 258 220
500 174 183 258
738 568 0 42
661 596 392 35
423 460 560 299
106 580 79 31
384 565 252 398
485 400 75 142
298 553 208 487
707 569 635 572
780 15 667 392
674 272 198 447
175 72 428 266
113 717 705 392
671 744 359 308
763 423 43 588
565 751 590 264
481 647 554 456
314 313 384 741
620 756 319 88
85 122 459 750
341 776 322 26
598 209 171 300
371 203 431 581
342 493 366 662
707 259 779 254
402 790 620 7
11 430 608 55
682 771 34 545
133 532 342 705
682 220 289 656
65 606 562 27
206 74 188 146
169 29 142 656
10 452 97 392
55 524 146 364
647 682 58 41
464 279 303 374
53 273 179 780
501 763 507 665
730 453 139 70
572 558 427 180
502 479 712 237
48 789 396 124
794 255 495 324
121 106 653 134
748 3 345 273
237 77 120 782
704 153 369 261
384 681 672 143
220 439 464 626
290 346 213 93
633 684 209 527
117 48 678 506
673 611 509 352
466 4 513 512
135 174 239 227
313 2 428 726
341 616 187 521
726 89 699 23
704 26 311 220
723 696 790 188
452 593 593 414
73 392 398 529
421 521 362 20
5 488 368 528
11 453 480 47
518 665 313 3
698 287 200 33
340 677 760 108
549 600 101 534
618 389 470 137
511 747 756 334
783 331 654 8
354 715 446 309
547 410 643 586
145 324 319 126
592 197 713 359
267 200 313 708
52 316 255 737
631 110 294 646
396 474 654 421
166 164 231 157
441 58 17 508
493 562 2 103
446 653 471 33
629 563 70 435
363 104 596 698
404 154 257 591
211 205 409 244
481 749 565 687
130 210 177 403
154 727 436 757
566 707 46 341
336 663 773 638
738 303 209 412
532 491 392 185
429 611 264 692
20 114 512 285
730 771 6 101
531 593 314 62
693 423 99 222
402 189 179 329
669 444 282 338
468 217 675 89
523 307 636 725
312 621 214 610
357 356 701 318
232 146 602 607
46 282 333 47
268 777 199 414
575 784 723 441
460 525 373 705
513 624 750 342
100 86 249 719
469 54 408 344
245 367 403 65
365 247 259 214
192 358 307 636
361 598 478 620
374 148 411 523
267 661 720 576
220 635 380 530
729 763 301 112
509 223 325 305
767 102 297 627
721 214 141 460
297 652 681 127
500 10 641 501
421 209 186 567
162 74 518 430
409 93 125 663
252 680 155 350
44 660 446 671
440 362 517 299
628 632 676 376
728 694 419 491
542 536 301 130
303 571 283 622
310 426 380 200
109 129 29 764
377 626 95 79
394 444 43 285
319 744 75 339
105 329 479 101
510 239 676 222
628 660 764 607
19 551 368 534
21 29 716 695
88 736 194 285
397 131 530 167
117 678 87 142
379 487 111 401
724 159 476 86
319 555 95 18
486 58 489 319
510 364 193 740
613 354 177 270
412 258 16 768
747 332 485 444
304 500 447 467
751 171 64 295
228 384 18 381
336 100 388 279
532 515 535 70
106 543 433 101
212 252 188 167
637 315 631 405
339 589 643 371
787 225 410 82
627 534 663 231
708 121 560 23
310 351 699 182
474 390 341 554
118 294 606 234
771 202 160 255
516 617 173 601
757 464 637 564
235 518 721 755
616 553 607 455
741 333 413 494
234 607 245 33
16 591 130 692
263 560 510 41
691 443 415 736
635 6 539 656
125 749 227 786
47 667 141 171
588 235 375 587
1 395 593 381
256 557 359 333
671 342 504 573
366 705 350 148
1 383 433 471
106 439 742 734
782 6 352 647
643 77 743 682
209 770 223 376
16 720 257 169
230 445 796 557
102 415 360 353
421 461 381 618
787 5 139 652
546 568 221 620
70 481 742 756
249 357 601 522
764 539 798 121
16 228 754 721
95 564 128 600
651 10 750 185
516 398 795 54
82 568 586 57
532 434 559 306
247 51 423 327
779 537 4 50
39 209 211 131
341 550 645 700
280 350 540 213
401 545 382 663
366 154 468 516
89 73 355 745
264 141 154 478
363 349 388 735
63 109 62 295
375 617 314 299
189 57 252 267
202 500 62 509
732 298 441 698
473 83 774 446
520 704 130 699
522 288 407 381
756 680 511 659
588 312 763 585
249 539 116 487
709 323 90 556
741 46 661 387
150 509 551 421
658 58 616 104
338 426 706 675
762 89 580 297
723 557 358 44
239 274 474 739
195 667 12 282
569 540 348 385
754 190 432 244
27 484 207 439
601 791 777 384
512 463 64 588
749 136 623 647
397 513 708 454
